"name","slug","denomination","category","country","city","address","pastor_name","website","phone","email","description","mission_statement","founding_year","member_count","ministry_count","is_church_os_client","is_verified","accepts_donations","donation_url"
"Toyonaka Catholic Church","toyonaka-catholic-church-osaka","Catholic","catholic","Japan","Osaka","1-1-1 Suehiro-cho, Toyonaka-shi, Osaka 561-0817","Fr. Andrew","[http://toyonaka-catholic.org](http://toyonaka-catholic.org)","+81 6 6331 1607","office@toyonaka-catholic.org","A thriving parish in the northern suburbs of Osaka, known for its strong Sunday School and family-oriented ministries. It serves as a community center for the local residential area.","Building a family of faith in Toyonaka.","1935","1500","6","false","true","true",null
"Kyoto Resurrection Church","kyoto-resurrection-church-kyoto","Anglican","anglican","Japan","Kyoto","Horikawa-dori, Nakagyo-ku, Kyoto, Japan","Rev. Luke","[http://kyoto-nskk.jp/fukkatsu](http://kyoto-nskk.jp/fukkatsu)","+81 75 000 0000","info@kyoto-nskk.jp","A central Anglican parish in Kyoto with a focus on liturgy and traditional Japanese Christian expression. It is part of the Diocese of Kyoto (NSKK).","Witnessing to the Resurrection in the ancient capital.","1920","400","4","false","true","true",null
"Nara Christ Church","nara-christ-church-nara","Anglican","anglican","Japan","Nara","60 Noborioji-cho, Nara 630-8213","Rev. Timothy","[http://www.nskk.org/nara/christ](http://www.nskk.org/nara/christ)","+81 742 22 2341","info@nara-nskk.jp","A historic Anglican church located near the famous Nara Park. The building is a registered Tangible Cultural Property and combines Western and Japanese architectural elements.","Peace in the heart of Nara.","1887","300","3","false","true","true",null
"Nagoya All Saints Church","nagoya-all-saints-church-nagoya","Anglican","anglican","Japan","Nagoya","2-17-21 Shirakabe, Higashi-ku, Nagoya 461-0011","Rev. Francis","[http://www.nagoya-nskk.jp/all-saints](http://www.nagoya-nskk.jp/all-saints)","+81 52 931 3541","office@nagoya-nskk.jp","The primary Anglican presence in Nagoya, focusing on traditional worship and community outreach. It is known for its beautiful brick facade and historic pipe organ.","All are welcome in the name of the Lord.","1889","500","5","false","true","true",null
"Sendai Orthodox Church","sendai-orthodox-church-sendai","Orthodox","orthodox","Japan","Sendai","1-3-1 Kitamachi, Aoba-ku, Sendai 980-0011","Fr. Nikolay","[http://sendai-orthodox.jp](http://sendai-orthodox.jp)","+81 22 222 5507","info@sendai-orthodox.jp","The Church of the Annunciation serves the Orthodox community in Northern Japan. Rebuilt after historical fires, it remains a center for Byzantine liturgy and spiritual life in Tohoku.","Proclaiming the eternal truth of Orthodoxy.","1872","400","4","false","true","true",null
"Nagoya Orthodox Church","nagoya-orthodox-church-nagoya","Orthodox","orthodox","Japan","Nagoya","2-18-4 Yamawaki-cho, Showa-ku, Nagoya 466-0062","Fr. Paul","[http://nagoya-orthodox.jp](http://nagoya-orthodox.jp)","+81 52 731 3452","contact@nagoya-orthodox.jp","The Church of the Epiphany is a serene place of worship in Nagoya, featuring traditional iconography and a dedicated choir for Byzantine chant.","Illumination through the Holy Spirit.","1913","300","3","false","true","true",null
"Osaka Orthodox Church","osaka-orthodox-church-osaka","Orthodox","orthodox","Japan","Osaka","1-10-18 Awaza, Nishi-ku, Osaka 550-0011","Fr. Sergey","[http://osaka-orthodox.jp](http://osaka-orthodox.jp)","+81 6 6531 3687","office@osaka-orthodox.jp","A focal point for Orthodox Christianity in the Kansai region, this church provides regular services in Japanese and Russian. It is known for its resilient community.","Witnessing the ancient faith in modern Osaka.","1878","500","5","false","true","true",null
"Kyoto Orthodox Church","kyoto-orthodox-church-kyoto","Orthodox","orthodox","Japan","Kyoto","Yanagibaba Higashino-cho, Nakagyo-ku, Kyoto 604-0951","Fr. John","[http://kyoto-orthodox.jp](http://kyoto-orthodox.jp)","+81 75 231 2438","info@kyoto-orthodox.jp","The Church of the Holy Resurrection in Kyoto is the oldest Orthodox church building in Japan. Its design follows traditional Russian Orthodox architecture with a Japanese touch.","Ancient faith in an ancient city.","1889","250","3","false","true","true",null
"Toyohashi Orthodox Church","toyohashi-orthodox-church-toyohashi","Orthodox","orthodox","Japan","Toyohashi","3-2 Hatchodori, Toyohashi, Aichi 440-0806","Fr. Andrew","[http://toyohashi-orthodox.jp](http://toyohashi-orthodox.jp)","+81 532 52 3594","info@toyohashi-orthodox.jp","A designated Important Cultural Property of Japan, this church is famous for its intricate wood carvings and early icons by Yamashita Rin.","Faith preserved in stone and wood.","1913","200","2","false","true","true",null
"Shizuoka Orthodox Church","shizuoka-orthodox-church-shizuoka","Orthodox","orthodox","Japan","Shizuoka","3-4 Kasuga, Aoi-ku, Shizuoka 420-0823","Fr. Mark","[http://shizuoka-orthodox.jp](http://shizuoka-orthodox.jp)","+81 54 252 3341","office@shizuoka-orthodox.jp","A local Orthodox community serving the Shizuoka region with regular liturgical services and community study groups.","Searching for Truth in Shizuoka.","1890","150","2","false","true","true",null
"Yokohama Orthodox Church","yokohama-orthodox-church-yokohama","Orthodox","orthodox","Japan","Yokohama","203 Yamate-cho, Naka-ku, Yokohama 231-0862","Fr. Peter","[http://yokohama-orthodox.jp](http://yokohama-orthodox.jp)","+44 1474 532134","info@yokohama-orthodox.jp","Located on the historic Yamate hill, this church serves the Orthodox residents of Yokohama and the greater Kanagawa area. It has strong ties to the early mission history.","Bearing witness to the harbor of souls.","1874","400","4","false","true","true",null
"Tokyo Musashino Church","tokyo-musashino-church-tokyo","Non-Denominational","non-denominational","Japan","Tokyo","2-3-22 Sakai, Musashino-shi, Tokyo 180-0022","Rev. Akira Suzuki","[http://www.musashino-church.com](http://www.musashino-church.com)","+81 422 51 3456","office@musashino-church.org","A vibrant United Church of Christ in Japan (UCCJ) congregation in Western Tokyo, known for its focus on social justice, environmental stewardship, and community welfare.","A community of faith serving the Musashino region.","1947","600","5","false","true","true",null
"Akita Seitai Hoshikai","akita-seitai-hoshikai-akita","Catholic","catholic","Japan","Akita","Soegawa Yuzawa-dai 1, Akita 010-0822","Fr. Rector","[http://seitaihoshikai.com](http://seitaihoshikai.com)","+81 18 868 2139","info@seitaihoshikai.com","Also known as Our Lady of Akita, this convent and chapel is a major pilgrimage site famous for the reported weeping of a statue of Mary. It focuses on prayer and penance.","Praying for the world in the spirit of Akita.","1973","500","4","false","true","true",null
"Shimonoseki Catholic Church","shimonoseki-catholic-church-shimonoseki","Catholic","catholic","Japan","Shimonoseki","4-1-2 Maruyama-cho, Shimonoseki, Yamaguchi 750-0062","Fr. Joseph","[http://shimonoseki-catholic.jp](http://shimonoseki-catholic.jp)","+81 83 231 1664","office@shimonoseki-catholic.jp","A central parish in the port city of Shimonoseki, serving a local and seafaring international community. It is known for its beautiful hilltop location.","Grace at the gates of the Strait.","1948","700","4","false","true","true",null
"Aizu-Wakamatsu Catholic Church","aizu-wakamatsu-catholic-church-aizu-wakamatsu","Catholic","catholic","Japan","Aizu-Wakamatsu","1-41 Sakaemachi, Aizu-Wakamatsu, Fukushima 965-0871","Fr. Bernard","[http://aizu-catholic.jp](http://aizu-catholic.jp)","+81 242 22 2341","info@aizu-catholic.jp","A historic parish in the samurai city of Aizu, focusing on education and local community service in Fukushima prefecture.","Faith and courage in Aizu.","1930","450","3","false","true","true",null
"Takatsuki Catholic Church","takatsuki-catholic-church-takatsuki","Catholic","catholic","Japan","Takatsuki","2-33 Jo-nai-machi, Takatsuki, Osaka 569-0075","Fr. Luke","[http://takatsuki-catholic.org](http://takatsuki-catholic.org)","+81 72 671 2341","info@takatsuki-catholic.org","Located in the city of the Blessed Justo Takayama Ukon, this church is a center for pilgrimage and historical study of the 'Kirishitan' era.","Remembering the Justo, following the Lord.","1952","1200","6","false","true","true",null
"Tottori Catholic Church","tottori-catholic-church-tottori","Catholic","catholic","Japan","Tottori","1-610 Higashimachi, Tottori 680-0011","Fr. Andrew","[http://tottori-catholic.jp](http://tottori-catholic.jp)","+81 857 22 3443","info@tottori-catholic.jp","A small but dedicated community serving the Tottori region on the Sea of Japan coast. It is known for its close-knit family atmosphere.","A small light in the sand dunes.","1955","300","2","false","true","true",null
"Matsumoto Catholic Church","matsumoto-catholic-church-matsumoto","Catholic","catholic","Japan","Matsumoto","3-2-22 Marunouchi, Matsumoto, Nagano 390-0873","Fr. Simon","[http://matsumoto-catholic.jp](http://matsumoto-catholic.jp)","+81 263 32 3687","info@matsumoto.jp","Serving the Matsumoto region near the historic castle, this parish has a strong focus on liturgical arts and social welfare.","Grace in the Alps.","1935","600","4","false","true","true",null
"Nagano Catholic Church","nagano-catholic-church-nagano","Catholic","catholic","Japan","Nagano","1321 Miwa, Nagano-shi 380-0803","Fr. Thomas","[http://nagano-catholic.jp](http://nagano-catholic.jp)","+81 26 232 3687","info@nagano-catholic.jp","The primary Catholic presence in Nagano city, providing a home for diverse local and migrant believers in the mountainous region.","One heart in the Nagano mountains.","1950","800","5","false","true","true",null"
