"name","slug","denomination","category","country","city","address","pastor_name","website","phone","email","description","mission_statement","founding_year","member_count","ministry_count","is_church_os_client","is_verified","accepts_donations","donation_url"
"Machida Church of Christ","machida-church-of-christ-machida","Non-Denominational","non-denominational","Japan","Machida","1-chome-15-20 Haramachida, Machida, Tokyo 194-0013, Japan","Pastor Tanaka","[https://machida-coc.org](https://machida-coc.org)","+81 42 000 0000","info@machida-coc.org","An evangelical community in the Machida suburb, focusing on family discipleship and bilingual services. It is known for its welcoming atmosphere.","Walking with Christ in Machida.","1992","220","4","false","true","true",null
"Nagoya Nishi Church of Christ","nagoya-nishi-church-of-christ-nagoya","Non-Denominational","non-denominational","Japan","Nagoya","Nakamura Ward, Nagoya, Aichi, Japan","Pastor Kato","[https://nagoyanishi-coc.jp](https://nagoyanishi-coc.jp)","+81 52 000 0000","info@nagoyanishi-coc.jp","A growing congregation in Western Nagoya dedicated to practical Christian living and community service. It offers a variety of programs for all age groups.","Faith in action in Nagoya.","1988","250","5","false","true","true",null
"Kamizono Church of Christ","kamizono-church-of-christ-nishinomiya","Non-Denominational","non-denominational","Japan","Nishinomiya","Kamizonocho, Nishinomiya, Hyogo, Japan","Pastor Yamamoto","[https://kamizono-coc.org](https://kamizono-coc.org)","+81 79 800 0000","info@kamizono-coc.org","A local Bible church in the Hanshin area focusing on expository preaching and community fellowship. It has been a steady witness in Nishinomiya for decades.","Truth and Grace in Nishinomiya.","1975","190","3","false","true","true",null
"Higashi Hiroshima Church of Christ","higashi-hiroshima-church-of-christ-higashi-hiroshima","Non-Denominational","non-denominational","Japan","Higashi Hiroshima","Saijocho, Higashi Hiroshima, Hiroshima, Japan","Pastor Mori","[https://higashihiroshima-coc.jp](https://higashihiroshima-coc.jp)","+81 82 000 0000","info@hhcoc.jp","Serving the university city of Higashi Hiroshima with a heart for student ministry and international fellowship. It is a diverse and active community.","Light in the University city.","1990","140","4","false","true","true",null
"Kagoshima Church of Christ","kagoshima-church-of-christ-kagoshima","Non-Denominational","non-denominational","Japan","Kagoshima","Kagoshima City, Kagoshima, Japan","Pastor Shimazu","[https://kagoshima-coc.org](https://kagoshima-coc.org)","+81 99 000 0000","info@kagoshima-coc.org","A small but dedicated community of believers in southern Kyushu, focusing on prayer and local evangelism. It provides a warm environment for newcomers.","Hope in Kagoshima.","1965","100","2","false","true","true",null
"Nerima Baptist Church","nerima-baptist-church-tokyo","Baptist","baptist","Japan","Tokyo","1-13-1 Toyotamakita, Nerima City, Tokyo 176-0012, Japan","Pastor Yamada","[http://nerima-baptist.jp](http://nerima-baptist.jp)","+81 3 3991 3541","info@nerima-baptist.jp","A central Baptist congregation in Northern Tokyo known for its strong music ministry and educational programs. It has served the Nerima community for over 70 years.","Faith and Service in Nerima.","1952","600","6","false","true","true",null
"Kashii Baptist Church","kashii-baptist-church-fukuoka","Baptist","baptist","Japan","Fukuoka","2-chome-24-11 Kashii, Higashi Ward, Fukuoka, 813-0011, Japan","Rev. Matsuo","[https://kashii-baptist.jp](https://kashii-baptist.jp)","+81 92 681 1818","office@kashii-baptist.jp","A vibrant Baptist community in eastern Fukuoka with a focus on family discipleship and community outreach. It is active in local school support.","Growing together in Kashii.","1958","350","5","false","true","true",null
"Uozumi Chapel","uozumi-chapel-akashi","Baptist","baptist","Japan","Akashi","Uozumicho, Akashi, Hyogo, Japan","Pastor Uozumi","[https://uozumi-chapel.jp](https://uozumi-chapel.jp)","+81 78 000 0000","info@uozumi-chapel.jp","A mission-focused chapel in Akashi city, part of the Japan Baptist Convention. It is known for its warm hospitality and children's programs.","Small church, big heart in Akashi.","1990","120","3","false","true","true",null
"Calvary Baptist Church Nagoya","calvary-baptist-church-nagoya","Baptist","baptist","Japan","Nagoya","Nagoya City, Aichi, Japan","Pastor Ben","[http://nagoya-baptist.jp/calvary](http://nagoya-baptist.jp/calvary)","+81 52 000 0000","calvary@nagoya-baptist.jp","A contemporary Baptist congregation in Nagoya offering English and Japanese services. It has a strong focus on student outreach and global missions.","Reaching Nagoya with the Word.","1995","200","4","false","true","true","[http://nagoya-baptist.jp/give](http://nagoya-baptist.jp/give)"
"Reiho Baptist Church","reiho-baptist-church-itoman","Baptist","baptist","Japan","Itoman","Itoman, Okinawa, Japan","Pastor Okinawa","[http://reiho-baptist.jp](http://reiho-baptist.jp)","+81 98 000 0000","info@reiho-baptist.jp","A local Baptist witness in the southern part of Okinawa island, providing spiritual support to the Itoman community. It focuses on youth and senior care.","Peace in Itoman.","1985","150","3","false","true","true",null
"Aosagaura Church","aosagaura-church-shinkamigoto","Catholic","catholic","Japan","Shinkamigoto","Naze, Shinkamigoto, Minamimatsura District, Nagasaki, Japan","Fr. Rector","[https://shinkamigoto.nagasaki-tabinet.com/church/618](https://shinkamigoto.nagasaki-tabinet.com/church/618)","+81 959 52 2011","info@aosagaura-church.jp","A National Important Cultural Property and a historic brick church on the Goto Islands. It is a symbol of the survival and revival of faith after the end of religious persecution.","Faith and heritage in Goto.","1910","400","4","false","true","true",null
"Hoki Church","hoki-church-hirado","Catholic","catholic","Japan","Hirado","Hoki-cho, Hirado, Nagasaki, Japan","Lead Priest","[https://nagasaki-tabinet.com/church/10363](https://nagasaki-tabinet.com/church/10363)","+81 950 22 2111","info@hoki-church.jp","A beautiful wooden and brick church in Hirado, featuring unique structural elements that blend Western and Japanese styles. It serves a historic rural Catholic community.","Preserving the faith in Hirado.","1899","300","3","false","true","true",null
"Kaminoshima Church","kaminoshima-church-nagasaki","Catholic","catholic","Japan","Nagasaki","1-chome-261 Kaminoshima-machi, Nagasaki, Japan","Fr. Nagasaki","[https://nagasaki-tabinet.com/church/10200](https://nagasaki-tabinet.com/church/10200)","+81 95 865 0500","info@kaminoshima.jp","A hilltop church overlooking the Nagasaki harbor, known for its distinctive red-brick facade and its connection to the history of hidden Christians. It remains an active parish center.","A light over the harbor.","1897","600","5","false","true","true",null
"Kurosaki Church","kurosaki-church-nagasaki","Catholic","catholic","Japan","Nagasaki","Sotome, Nagasaki, Japan","Fr. Sotome","[https://nagasaki-tabinet.com/church/10203](https://nagasaki-tabinet.com/church/10203)","+81 95 884 2014","info@kurosaki-church.jp","A large brick church located in the Sotome region, built through the tireless efforts of Father de Rotz and the local congregation. It is an Important Cultural Property.","A testament to faith and labor.","1920","800","6","false","true","true",null
"Himosashi Church","himosashi-church-hirado","Catholic","catholic","Japan","Hirado","Himosashi-cho, Hirado, Nagasaki, Japan","Lead Priest","[https://nagasaki-tabinet.com/church/10361](https://nagasaki-tabinet.com/church/10361)","+81 950 28 0001","info@himosashi-church.jp","Once the largest church building in Japan, this reinforced concrete structure in Hirado is noted for its early 20th-century architectural innovation. It serves a vibrant local parish.","Magnificent faith in Hirado.","1929","1000","7","false","true","true",null
"Oso Church","oso-church-shinkamigoto","Catholic","catholic","Japan","Shinkamigoto","Oso, Shinkamigoto, Nagasaki, Japan","Fr. Oso","[https://nagasaki-tabinet.com/church/10255](https://nagasaki-tabinet.com/church/10255)","+81 959 52 2011","info@oso-church.jp","A historic brick church on the Goto Islands known for its beautiful brickwork and its role in the revival of Catholicism in the region. It is a designated cultural property.","Rooted in the islands.","1916","350","4","false","true","true",null
"Egami Church","egami-church-goto","Catholic","catholic","Japan","Goto","Naru-cho, Goto, Nagasaki, Japan","Fr. Naru","[https://nagasaki-tabinet.com/church/10256](https://nagasaki-tabinet.com/church/10256)","+81 959 72 2111","info@egami-church.jp","A UNESCO World Heritage site known for its unique wooden construction and vibrant stained glass. It is a prime example of an early 20th-century church built by and for hidden Christians.","UNESCO heritage of hidden faith.","1918","200","3","false","true","true",null
"Kuroshima Church","kuroshima-church-sasebo","Catholic","catholic","Japan","Sasebo","Kuroshima-cho, Sasebo, Nagasaki, Japan","Lead Priest","[https://nagasaki-tabinet.com/church/10222](https://nagasaki-tabinet.com/church/10222)","+81 956 22 6121","info@kuroshima.jp","A magnificent red-brick church on Kuroshima Island, built with materials brought in by boat. It serves as the spiritual heart of the island's resilient Catholic community.","Faith across the sea.","1902","500","5","false","true","true",null
"Shitsu Church","shitsu-church-sotome","Catholic","catholic","Japan","Nagasaki","Shitsumachi, Nagasaki, Japan","Fr. Rector","[https://nagasaki-tabinet.com/church/10204](https://nagasaki-tabinet.com/church/10204)","+81 95 884 2014","info@shitsu-church.jp","Founded by the missionary Father Marc Marie de Rotz, this church is a centerpiece of the Sotome Catholic community and a National Important Cultural Property. It focuses on social welfare.","Serving the poor with love.","1882","900","8","false","true","true",null
"Ono Church","ono-church-sotome","Catholic","catholic","Japan","Nagasaki","Onomachi, Nagasaki, Japan","Fr. Ono","[https://nagasaki-tabinet.com/church/10205](https://nagasaki-tabinet.com/church/10205)","+81 95 884 2014","info@ono-church.jp","A unique stone-built church in the Sotome region, designed by Father de Rotz using local 'de Rotz walls'. It is a designated National Important Cultural Property and UNESCO site.","Stones of faith in Sotome.","1893","150","2","false","true","true",null
