"name","slug","denomination","category","country","city","address","pastor_name","website","phone","email","description","mission_statement","founding_year","member_count","ministry_count","is_church_os_client","is_verified","accepts_donations","donation_url"
"Toyama Catholic Church","toyama-catholic-toyama","Catholic","catholic","Japan","Toyama","Toyama-shi, Toyama, Japan","Fr. Luke","[http://toyama-catholic.jp](http://toyama-catholic.jp)","+81 76 421 5461","info@toyama.jp","Serving the Toyama region with a commitment to social justice and education.","Mercy and truth.","1934","450","4","false","true","true",null
"Ashiya Catholic Church","ashiya-catholic-ashiya","Catholic","catholic","Japan","Ashiya","Ashiya, Hyogo, Japan","Fr. Simon","[http://ashiya-catholic.jp](http://ashiya-catholic.jp)","+81 79 722 3810","info@ashiya.jp","A parish in the historic city of Ashiya, known for its beautiful liturgical services.","Grace in Ashiya.","1945","1200","5","false","true","true",null
"Shukugawa Catholic Church","shukugawa-catholic-nishinomiya","Catholic","catholic","Japan","Nishinomiya","Nishinomiya, Hyogo, Japan","Fr. Matthew","[http://shukugawa-catholic.jp](http://shukugawa-catholic.jp)","+81 79 822 1664","info@shukugawa.jp","One of the most architecturally significant churches in the Hanshin region.","Beauty for the glory of God.","1932","3000","10","false","true","true",null
"Matsue Catholic Church","matsue-catholic-matsue","Catholic","catholic","Japan","Matsue","Matsue, Shimane, Japan","Fr. James","[http://matsue-catholic.jp](http://matsue-catholic.jp)","+81 85 221 4752","info@matsue.jp","The primary Catholic witness in the historic city of Matsue.","Light in Shimane.","1950","350","3","false","true","true",null
"Noboricho Catholic Church","noboricho-cathedral-hiroshima","Catholic","catholic","Japan","Hiroshima","Nobori-cho, Hiroshima, Japan","Bishop of Hiroshima","[http://noboricho-catholic.jp](http://noboricho-catholic.jp)","+81 82 221 0621","info@noboricho.jp","The cathedral of the Diocese of Hiroshima, a site dedicated to peace and reconciliation.","Peace on earth.","1954","2500","12","false","true","true",null
"Hagi Catholic Church","hagi-catholic-hagi","Catholic","catholic","Japan","Hagi","Hagi, Yamaguchi, Japan","Fr. Bernard","[http://hagi-catholic.jp](http://hagi-catholic.jp)","+81 83 822 0524","info@hagi.jp","A historic parish in the former samurai town of Hagi.","Faith in Hagi.","1890","150","2","false","true","true",null
"Sakuramachi Catholic Church","sakuramachi-cathedral-takamatsu","Catholic","catholic","Japan","Takamatsu","Sakuramachi, Takamatsu, Japan","Bishop of Takamatsu","[http://sakuramachi.jp](http://sakuramachi.jp)","+81 87 831 2305","info@sakuramachi.jp","The cathedral for the Diocese of Takamatsu on Shikoku island.","Witness in Takamatsu.","1952","800","6","false","true","true",null
"Imabari Catholic Church","imabari-catholic-imabari","Catholic","catholic","Japan","Imabari","Imabari, Ehime, Japan","Fr. Peter","[http://imabari.jp](http://imabari.jp)","+81 89 822 1530","info@imabari.jp","A local community focused on maritime ministry and local outreach.","Faith in the port of Imabari.","1948","300","3","false","true","true",null
"Tokushima Catholic Church","tokushima-catholic-tokushima","Catholic","catholic","Japan","Tokushima","Tokushima, Japan","Fr. Paul","[http://tokushima-catholic.jp](http://tokushima-catholic.jp)","+81 88 622 3687","info@tokushima.jp","Serving the Awa region with a heart for the community.","Grace in Tokushima.","1952","400","4","false","true","true",null
"Kochi Catholic Church","kochi-catholic-kochi","Catholic","catholic","Japan","Kochi","Kochi, Japan","Fr. Francis","[http://kochi-catholic.jp](http://kochi-catholic.jp)","+81 88 822 3687","info@kochi.jp","A vibrant parish in Kochi focusing on social welfare and community building.","Hope for Kochi.","1930","500","4","false","true","true",null
"Beppu Catholic Church","beppu-catholic-beppu","Catholic","catholic","Japan","Beppu","Beppu, Oita, Japan","Fr. Andrew","[http://beppu-catholic.jp](http://beppu-catholic.jp)","+81 97 722 3687","info@beppu.jp","A parish serving the local and international student community in the hot spring city of Beppu.","Healing waters, healing Spirit.","1950","600","5","false","true","true",null
"Sasebo Catholic Church","sasebo-catholic-sasebo","Catholic","catholic","Japan","Sasebo","Sasebo, Nagasaki, Japan","Fr. Luke","[http://sasebo-catholic.jp](http://sasebo-catholic.jp)","+81 95 622 3687","info@sasebo.jp","Serving the port city of Sasebo with English and Japanese ministries.","One faith, many nations.","1948","1500","8","false","true","true",null
"Kushiro Catholic Church","kushiro-catholic-kushiro","Catholic","catholic","Japan","Kushiro","Kushiro, Hokkaido, Japan","Fr. Mark","[http://kushiro-catholic.jp](http://kushiro-catholic.jp)","+81 15 422 3687","info@kushiro.jp","A northern parish in Hokkaido focusing on local community support.","Light in the mist.","1955","250","3","false","true","true",null
"Obihiro Catholic Church","obihiro-catholic-obihiro","Catholic","catholic","Japan","Obihiro","Obihiro, Hokkaido, Japan","Fr. John","[http://obihiro-catholic.jp](http://obihiro-catholic.jp)","+81 15 522 3687","info@obihiro.jp","A local church serving the agricultural heart of Hokkaido.","Faith on the plains.","1950","300","3","false","true","true",null
"Asahikawa Catholic Church","asahikawa-catholic-asahikawa","Catholic","catholic","Japan","Asahikawa","Asahikawa, Hokkaido, Japan","Fr. Thomas","[http://asahikawa-catholic.jp](http://asahikawa-catholic.jp)","+81 16 622 3687","info@asahikawa.jp","A central parish in Hokkaido's second-largest city.","Heart of Hokkaido.","1948","500","4","false","true","true",null
"Hakodate Orthodox Church","hakodate-orthodox-hakodate","Orthodox","orthodox","Japan","Hakodate","15-15 Motomachi, Hakodate, Hokkaido, Japan","Fr. Nikolay","[http://orthodox-hakodate.jp](http://orthodox-hakodate.jp)","+81 13 823 7387","info@orthodox-hakodate.jp","The first Orthodox church in Japan, featuring stunning Russian Byzantine architecture.","Witnessing to the Orthodox faith since 1859.","1859","300","4","false","true","true",null
"Kurashiki Baptist Church","kurashiki-baptist-kurashiki","Baptist","baptist","Japan","Kurashiki","Kurashiki, Okayama, Japan","Rev. Yamamoto","[http://kurashiki-baptist.jp](http://kurashiki-baptist.jp)","+81 86 422 1234","info@kurashiki-baptist.jp","A traditional Baptist congregation in the historic Bikan district of Kurashiki.","Bible truth in the old city.","1923","150","3","false","true","true",null
"Okayama Central Church","okayama-central-okayama","Non-Denominational","non-denominational","Japan","Okayama","Okayama, Japan","Rev. Sato","[http://okayama-central.jp](http://okayama-central.jp)","+81 86 222 1234","info@okayama-central.jp","A historic Protestant church in Okayama with deep roots in education.","Faith and knowledge.","1880","400","5","false","true","true",null
"Kanazawa Independent Church","kanazawa-independent-kanazawa","Non-Denominational","non-denominational","Japan","Kanazawa","Kanazawa, Ishikawa, Japan","Rev. Tanaka","[http://kanazawa-church.org](http://kanazawa-church.org)","+81 76 221 1234","info@kanazawa-church.org","A local congregation founded during the Meiji era, known for its intellectual tradition.","Light in Ishikawa.","1885","200","3","false","true","true",null
"Nara Presbyterian Church","nara-presbyterian-nara","Presbyterian","presbyterian","Japan","Nara","Nara, Japan","Rev. Ito","[http://nara-pres.jp](http://nara-pres.jp)","+81 74 222 1234","info@nara-pres.jp","A historic Presbyterian church in Nara focusing on Reformed theology.","Truth in ancient Nara.","1890","120","2","false","true","true",null
"Mount Pleasant Baptist Church","mount-pleasant-baptist-harare","Baptist","baptist","Zimbabwe","Harare","Upper East Rd, Harare, Zimbabwe","Pastor Steve","[https://mpbaptist.org.zw](https://mpbaptist.org.zw)","+263 24 233 1111","info@mpbaptist.org.zw","A community-focused Baptist church in the northern suburbs of Harare.","Preaching the Word, serving the city.","1965","1200","8","false","true","true",null
"Greendale Baptist Church","greendale-baptist-harare","Baptist","baptist","Zimbabwe","Harare","Greendale, Harare, Zimbabwe","Pastor David","[http://greendalebaptist.org.zw](http://greendalebaptist.org.zw)","+263 24 000 0000","info@greendalebaptist.org.zw","A welcoming evangelical community with a strong focus on family and missions.","Sharing Christ in Greendale.","1970","1000","6","false","true","true",null
"St. Gerard's Catholic Church","st-gerards-harare","Catholic","catholic","Zimbabwe","Harare","Borrowdale, Harare, Zimbabwe","Fr. Robert","[https://catholicchurch.org.zw](https://catholicchurch.org.zw)","+263 24 000 0000","info@stgerards.org.zw","A vibrant Catholic parish in the Borrowdale area known for its community involvement.","Sanctuary for the community.","1960","2000","7","false","true","true",null
"Holy Trinity Catholic Church","holy-trinity-bulawayo","Catholic","catholic","Zimbabwe","Bulawayo","Bulawayo, Zimbabwe","Fr. Peter","[https://catholicbulawayo.org.zw](https://catholicbulawayo.org.zw)","+263 9 000 0000","info@holytrinity.org.zw","The primary Catholic cathedral for the Bulawayo diocese, a center of faith and social work.","Peace through faith in Bulawayo.","1925","2500","10","false","true","true",null
"Highlands Presbyterian Church","highlands-presbyterian-harare","Presbyterian","presbyterian","Zimbabwe","Harare","Highlands, Harare, Zimbabwe","Rev. John","[http://presbyterian.org.zw](http://presbyterian.org.zw)","+263 24 000 0000","info@highlands.org.zw","A historic Presbyterian witness in Harare focusing on traditional liturgy and outreach.","Preserving the Word.","1945","800","5","false","true","true",null
"Inner City Methodist Church","inner-city-methodist-harare","Methodist","methodist","Zimbabwe","Harare","CBD, Harare, Zimbabwe","Rev. George","[http://methodistchurch.org.zw](http://methodistchurch.org.zw)","+263 24 000 0000","info@innercity.org.zw","A central Methodist congregation with a heart for urban mission and social justice.","Serving the heart of Harare.","1891","1500","6","false","true","true",null
"ZAOGA Bindura Central","zaoga-bindura-central-bindura","Pentecostal","pentecostal","Zimbabwe","Bindura","Bindura, Zimbabwe","Elder John","[https://fifmi.org](https://fifmi.org)","+263 27 000 0000","info@bindurazaoga.org.zw","A foundational branch of the Forward in Faith movement in the Mashonaland Central province.","Reaching Bindura for Christ.","1975","3000","6","false","true","true",null
"ZAOGA Chinhoyi Central","zaoga-chinhoyi-central-chinhoyi","Pentecostal","pentecostal","Zimbabwe","Chinhoyi","Chinhoyi, Zimbabwe","Elder Mark","[https://fifmi.org](https://fifmi.org)","+263 67 000 0000","info@chinhoyizaoga.org.zw","A vibrant community hub for the FIF ministry in Chinhoyi.","Kingdom power in Chinhoyi.","1980","2500","5","false","true","true",null
"ZAOGA Victoria Falls","zaoga-victoria-falls-victoria-falls","Pentecostal","pentecostal","Zimbabwe","Victoria Falls","Victoria Falls, Zimbabwe","Pastor Falls","[https://fifmi.org](https://fifmi.org)","+263 13 000 0000","info@vicfallszaoga.org.zw","Serving the tourist hub and local residents with a message of hope.","Grace at the Falls.","1990","1200","4","false","true","true",null
"AFM Waterfalls","afm-waterfalls-harare","Apostolic","charismatic","Zimbabwe","Harare","Waterfalls, Harare, Zimbabwe","Rev. Moyo","[https://afm.org.zw](https://afm.org.zw)","+263 24 000 0000","info@waterfallsafm.org.zw","A large Pentecostal congregation with a strong history in the southern suburbs of Harare.","Faith alive in Waterfalls.","1965","4000","8","false","true","true",null
"AFM Mabelreign","afm-mabelreign-harare","Apostolic","charismatic","Zimbabwe","Harare","Mabelreign, Harare, Zimbabwe","Rev. Sibanda","[https://afm.org.zw](https://afm.org.zw)","+263 24 000 0000","info@mabelreignafm.org.zw","A community-focused AFM assembly serving the Mabelreign area.","Transforming lives.","1980","2000","5","false","true","true",null
"Christ Embassy Mutare","christ-embassy-mutare-mutare","Charismatic","charismatic","Zimbabwe","Mutare","Mutare, Zimbabwe","Pastor Chris","[https://christembassy.org](https://christembassy.org)","+263 20 000 0000","info@mutare.org.zw","A dynamic charismatic ministry in the Eastern Highlands.","Grace for Mutare.","2005","3000","6","false","true","true",null
"Seventh Day Adventist Ascot","sda-ascot-gweru","Seventh-day Adventist","non-denominational","Zimbabwe","Gweru","Ascot, Gweru, Zimbabwe","Pastor Khumalo","[http://szu.adventist.org](http://szu.adventist.org)","+263 54 000 0000","info@ascotsda.org.zw","A local Adventist congregation in Gweru focusing on health and prophecy.","Preparing for His coming.","1970","1500","5","false","true","true",null
"Salvation Army Bulawayo Central","salvation-army-bulawayo-bulawayo","Salvation Army","non-denominational","Zimbabwe","Bulawayo","Bulawayo, Zimbabwe","Major Dube","[http://salvationarmy.org/zimbabwe](http://salvationarmy.org/zimbabwe)","+263 9 000 0000","info@bulawayosa.org.zw","A landmark presence in Bulawayo known for its social and spiritual impact.","Doing the most good.","1895","2000","8","false","true","true",null
"Anglican Church Masvingo","anglican-masvingo-masvingo","Anglican","anglican","Zimbabwe","Masvingo","Masvingo, Zimbabwe","Bishop of Masvingo","[http://anglicanmasvingo.org.zw](http://anglicanmasvingo.org.zw)","+263 39 000 0000","info@masvingo.org.zw","The cathedral church for the Anglican Diocese of Masvingo.","Grace in history.","1920","1000","5","false","true","true",null
"Antioch Bible Church","antioch-bible-church-honeydew","Non-Denominational","non-denominational","South Africa","Honeydew","Honeydew, Johannesburg, South Africa","Pastor Tim","[https://antiochbiblechurch.org.za](https://antiochbiblechurch.org.za)","+27 11 000 0000","info@antioch.org.za","An evangelical, Bible-centered church focusing on discipleship and community.","Preaching the Word in Honeydew.","1995","1200","6","false","true","true","[https://antiochbiblechurch.org.za/give](https://antiochbiblechurch.org.za/give)"
"Birchleigh Baptist Church","birchleigh-baptist-kempton-park","Baptist","baptist","South Africa","Kempton Park","Kempton Park, South Africa","Pastor John","[http://birchleigh.org.za](http://birchleigh.org.za)","+27 11 000 0000","info@birchleigh.org.za","A local Baptist congregation serving the Kempton Park area for over 30 years.","Truth for the city.","1988","600","4","false","true","true",null
"Brackenhurst Baptist Church","brackenhurst-baptist-alberton","Baptist","baptist","South Africa","Alberton","Alberton, South Africa","Pastor Doug","[https://brackenhurstbaptist.org](https://brackenhurstbaptist.org)","+27 11 000 0000","info@brackenhurst.org.za","An evangelical church in Alberton known for its theological depth and missions focus.","To know Christ and make Him known.","1982","1500","7","false","true","true",null
"Calvary Avenue Revival Church","calvary-avenue-gqeberha","Evangelical","evangelical","South Africa","Gqeberha","Gqeberha, South Africa","Pastor David","[http://calvaryavenue.org.za](http://calvaryavenue.org.za)","+27 41 000 0000","info@calvary.org.za","A vibrant evangelical community in the Eastern Cape focused on revival.","Hope for the city.","2000","800","5","false","true","true",null
"Central Baptist Church Rustenburg","central-baptist-rustenburg","Baptist","baptist","South Africa","Rustenburg","Rustenburg, South Africa","Pastor Mark","[http://baptistrustenburg.org.za](http://baptistrustenburg.org.za)","+27 14 000 0000","info@central.org.za","Serving the mining hub of Rustenburg with a focus on biblical teaching.","Word in the goldfields.","1985","1000","5","false","true","true",null
"Christ Baptist Church Polokwane","christ-baptist-polokwane","Baptist","baptist","South Africa","Polokwane","Polokwane, South Africa","Pastor Chris","[http://christbaptist.co.za](http://christbaptist.co.za)","+27 15 000 0000","info@polokwane.org.za","A leading Baptist presence in the Limpopo province.","Limpopo light.","1990","2500","8","false","true","true",null
"Coastal Bible Church","coastal-bible-muizenberg","Non-Denominational","non-denominational","South Africa","Muizenberg","Muizenberg, Cape Town, South Africa","Pastor Peter","[http://coastalbible.co.za](http://coastalbible.co.za)","+27 21 000 0000","info@muizenberg.org.za","A family-oriented church in the coastal town of Muizenberg.","Grace by the sea.","1992","500","4","false","true","true",null
"Goodwood Baptist Church","goodwood-baptist-cape-town","Baptist","baptist","South Africa","Cape Town","Goodwood, Cape Town, South Africa","Pastor Andrew","[https://goodwoodbaptist.co.za](https://goodwoodbaptist.co.za)","+27 21 000 0000","info@goodwood.org.za","A historic Baptist congregation in the northern suburbs of Cape Town.","Faith in Goodwood.","1950","800","5","false","true","true",null
"Grace Baptist Church Daveyton","grace-baptist-daveyton","Baptist","baptist","South Africa","Daveyton","Daveyton, Benoni, South Africa","Pastor Grace","[http://gracedaveyton.org.za](http://gracedaveyton.org.za)","+27 11 000 0000","info@daveyton.org.za","A vibrant community church in the Daveyton area focused on growth.","Growth in the township.","1995","1200","6","false","true","true",null
"Hillcrest Bible Church","hillcrest-bible-durban","Non-Denominational","non-denominational","South Africa","Durban","Hillcrest, Durban, South Africa","Pastor Tim","[http://hillcrestbible.co.za](http://hillcrestbible.co.za)","+27 31 000 0000","info@hillcrest.org.za","A biblical community in the hills of Durban focusing on discipleship.","Disciples in the hills.","1988","1500","7","false","true","true",null
"Living Hope Hatfield","living-hope-pretoria","Non-Denominational","non-denominational","South Africa","Pretoria","Hatfield, Pretoria, South Africa","Pastor Hope","[http://livinghopehatfield.co.za](http://livinghopehatfield.co.za)","+27 12 000 0000","info@hatfield.org.za","A diverse community church in the academic hub of Pretoria.","Hope for students.","1998","2000","6","false","true","true",null
"Lynwood Baptist Church","lynwood-baptist-pretoria","Baptist","baptist","South Africa","Pretoria","Lynwood, Pretoria, South Africa","Pastor Lyn","[http://lynwoodbaptist.co.za](http://lynwoodbaptist.co.za)","+27 12 000 0000","info@lynwood.org.za","An evangelical Baptist church in the suburbs of Pretoria.","Gospel to the north.","1980","900","4","false","true","true",null
"Makhaza Reformed Baptist","makhaza-reformed-khayelitsha","Baptist","baptist","South Africa","Khayelitsha","Khayelitsha, Cape Town, South Africa","Pastor Sipho","[http://makhaza.org.za](http://makhaza.org.za)","+27 21 000 0000","info@khayelitsha.org.za","A Reformed Baptist witness in the heart of Khayelitsha.","Truth in the township.","2005","400","3","false","true","true",null
"Moletsane Baptist Church","moletsane-baptist-soweto","Baptist","baptist","South Africa","Soweto","Soweto, Johannesburg, South Africa","Pastor Mole","[http://moletsane.org.za](http://moletsane.org.za)","+27 11 000 0000","info@soweto.org.za","A historic Baptist presence in Soweto known for its community impact.","Faith in Soweto.","1960","1000","5","false","true","true",null
"Mountain View Baptist","mountain-view-somerset-west","Baptist","baptist","South Africa","Somerset West","Somerset West, South Africa","Pastor View","[http://mountainview.co.za](http://mountainview.co.za)","+27 21 000 0000","info@somerset.org.za","A local Baptist congregation in the helderberg basin.","Faith in the basin.","1990","600","3","false","true","true",null
"Nelspruit Bible Church","nelspruit-bible-mbombela","Non-Denominational","non-denominational","South Africa","Mbombela","Mbombela, South Africa","Pastor Nel","[http://nelspruitbible.org.za](http://nelspruitbible.org.za)","+27 13 000 0000","info@mbombela.org.za","An evangelical church in the capital of Mpumalanga.","Word in the Lowveld.","1995","800","4","false","true","true",null
"Pretoria West Bible Church","pretoria-west-bible-pretoria","Non-Denominational","non-denominational","South Africa","Pretoria","Pretoria West, South Africa","Pastor West","[http://pretoriawestbible.co.za](http://pretoriawestbible.co.za)","+27 12 000 0000","info@pretwest.org.za","Serving the working-class community of Pretoria West with the Gospel.","Faith for all.","1975","500","3","false","true","true",null
"Robertson Reformed Community","robertson-reformed-robertson","Reformed","reformed","South Africa","Robertson","Robertson, Western Cape, South Africa","Pastor Rob","[http://robertsonreformed.co.za](http://robertsonreformed.co.za)","+27 23 000 0000","info@robertson.org.za","A Reformed community in the Breede River Valley.","Grace in the valley.","1990","300","2","false","true","true",null
"Sovereign Grace Bible Church","sovereign-grace-pretoria","Non-Denominational","non-denominational","South Africa","Pretoria","Olievenhoutbosch, Pretoria, South Africa","Pastor Sove","[http://sovereigngrace.co.za](http://sovereigngrace.co.za)","+27 12 000 0000","info@olieven.org.za","A Reformed Baptist church focusing on theological clarity.","Grace in Olievenhoutbosch.","2010","200","2","false","true","true",null
"Sydenham Baptist Church","sydenham-baptist-gqeberha","Baptist","baptist","South Africa","Gqeberha","Gqeberha, South Africa","Pastor Syd","[http://sydenham.org.za](http://sydenham.org.za)","+27 41 000 0000","info@gqeberha.org.za","A traditional Baptist presence in the Eastern Cape.","Faith in the friendly city.","1920","600","3","false","true","true",null
"Trinity Baptist Church Makhado","trinity-baptist-makhado","Baptist","baptist","South Africa","Makhado","Makhado, Limpopo, South Africa","Pastor Trin","[http://makhado.org.za](http://makhado.org.za)","+27 15 000 0000","info@limpopo.org.za","Serving the Makhado community in the northern Limpopo province.","Truth in the north.","1995","400","3","false","true","true",null
"Tokai Community Church","tokai-community-cape-town","Non-Denominational","non-denominational","South Africa","Cape Town","Tokai, Cape Town, South Africa","Pastor Tokai","[http://tokaicommunitychurch.org](http://tokaicommunitychurch.org)","+27 21 000 0000","info@tokai.org.za","A modern, family-focused church in the southern suburbs.","Community in Christ.","1992","1000","5","false","true","true",null
"The Message Church","the-message-mowbray","Non-Denominational","non-denominational","South Africa","Cape Town","Mowbray, Cape Town, South Africa","Pastor Mess","[http://themessage.org.za](http://themessage.org.za)","+27 21 000 0000","info@mowbray.org.za","A vibrant church near the university focused on students and urban life.","The message of hope.","2000","800","4","false","true","true",null
"St. Timothy's Church Wetton","st-timothys-wetton","Anglican","anglican","South Africa","Cape Town","Wetton, Cape Town, South Africa","Rev. Tim","[http://sttimothys.org.za](http://sttimothys.org.za)","+27 21 000 0000","info@wetton.org.za","An evangelical Anglican parish in the southern suburbs.","Serving Wetton.","1965","500","3","false","true","true",null
"St. Thomas Heideveld","st-thomas-heideveld","Non-Denominational","non-denominational","South Africa","Cape Town","Heideveld, Cape Town, South Africa","Pastor Thom","[http://stthomas.org.za](http://stthomas.org.za)","+27 21 000 0000","info@heideveld.org.za","A local community church focusing on social support and faith.","Hope for Heideveld.","1980","600","4","false","true","true",null
"St. Stephen's Krugersdorp","st-stephens-krugersdorp","Non-Denominational","non-denominational","South Africa","Krugersdorp","Krugersdorp, Johannesburg, South Africa","Pastor Step","[http://ststephens.org.za](http://ststephens.org.za)","+27 11 000 0000","info@krugersdorp.org.za","Serving the West Rand with a focus on family and community.","Faith in the West Rand.","1970","1200","6","false","true","true",null
"St. Stephen's Clermont","st-stephens-clermont","Non-Denominational","non-denominational","South Africa","Durban","Clermont, Durban, South Africa","Pastor Clerm","[http://ststephensclermont.org.za](http://ststephensclermont.org.za)","+27 31 000 0000","info@clermont.org.za","A community church in Durban focused on empowerment and worship.","Grace in Clermont.","1985","1500","5","false","true","true",null
"REACH Summerstrand","reach-summerstrand-gqeberha","Non-Denominational","non-denominational","South Africa","Gqeberha","Summerstrand, Gqeberha, South Africa","Pastor Reach","[http://reachsummerstrand.co.za](http://reachsummerstrand.co.za)","+27 41 000 0000","info@summerstrand.org.za","An evangelical community focused on students and families near the coast.","Reaching Summerstrand.","1995","800","4","false","true","true",null
"REACH East London","reach-east-london-east-london","Non-Denominational","non-denominational","South Africa","East London","East London, South Africa","Pastor East","[http://reachsa.org.za](http://reachsa.org.za)","+27 43 000 0000","info@eastlondon.org.za","A community church in the Buffalo City region focused on discipleship.","Reaching Buffalo City.","1990","700","4","false","true","true",null
"Hope Church Auckland Park","hope-church-auckland-park","Non-Denominational","non-denominational","South Africa","Johannesburg","Auckland Park, Johannesburg, South Africa","Pastor Hope","[http://hopechurch.co.za](http://hopechurch.co.za)","+27 11 000 0000","info@aucklandpark.org.za","Serving the student and local community near the university.","Hope for Jozi.","2000","1200","6","false","true","true",null
"Holy Trinity Gardens","holy-trinity-gardens-cape-town","Non-Denominational","non-denominational","South Africa","Cape Town","Gardens, Cape Town, South Africa","Pastor Trin","[http://holytrinity.org.za](http://holytrinity.org.za)","+27 21 000 0000","info@gardens.org.za","A historic parish in central Cape Town focusing on urban mission.","Trinity in the city.","1920","600","4","false","true","true",null
"All Hallows London Wall","all-hallows-london-wall-london","Anglican","anglican","United Kingdom","London","83 London Wall, London, UK","Rev. Canon Peter","[https://londonwall.org.uk](https://londonwall.org.uk)","+44 20 7000 0000","info@londonwall.org.uk","A historic 18th-century church built on the original site of the London Wall.","Legacy of faith in the city.","1767","200","3","false","true","true",null
"All Hallows by-the-Tower","all-hallows-by-the-tower-london","Anglican","anglican","United Kingdom","London","Byward Street, London, UK","Rev. Katherine","[https://ahbtt.org.uk](https://ahbtt.org.uk)","+44 20 7481 2928","parish@ahbtt.org.uk","The oldest church in the City of London, dating back to 675 AD, located near the Tower of London.","A beacon of history and faith.","675","500","6","false","true","true",null
"All Saints Fulham","all-saints-fulham-london","Anglican","anglican","United Kingdom","London","Pryors Bank, London, UK","Rev. Penny","[https://allsaints-fulham.org.uk](https://allsaints-fulham.org.uk)","+44 20 7736 3264","info@asfulham.org.uk","A historic parish church on the banks of the Thames, known for its medieval tower and bishops' burials.","Faith by the river.","1350","1200","8","false","true","true",null
